Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)","USA

(SA) Monthly % change"
1/1/17,193.62,196.90,215.06,215.51,215.27,215.86,305.32,307.00,227.03,228.05,268.64,271.14,236.91,238.20,234.60,237.03,250.93,252.18,234.79,236.43,-0.05
2/1/17,195.96,198.05,218.69,219.40,215.66,217.26,309.92,310.20,226.08,227.61,271.94,272.95,238.87,239.08,235.93,238.18,252.82,253.84,236.92,237.95,0.64
3/1/17,200.01,199.97,222.97,221.56,216.65,217.00,314.45,313.46,231.57,231.38,277.09,275.96,242.52,240.94,240.79,239.99,255.06,253.12,240.67,239.63,0.71
4/1/17,202.26,200.18,223.15,221.06,220.15,219.66,318.08,315.15,234.32,232.48,280.94,278.15,247.01,243.67,243.74,241.13,259.32,257.30,243.96,241.47,0.77
5/1/17,205.09,201.14,225.59,222.32,222.98,219.83,322.53,318.23,236.06,231.96,284.58,280.58,248.24,243.97,247.77,243.68,262.44,258.31,246.74,242.61,0.47
6/1/17,206.68,201.19,227.87,224.15,225.34,221.01,324.01,319.17,239.81,234.06,286.30,282.52,249.99,245.47,249.49,243.88,262.76,258.40,248.48,243.60,0.41
7/1/17,207.83,202.75,229.93,225.63,226.71,222.61,325.95,321.72,240.21,234.87,286.77,283.09,251.05,246.68,250.18,244.41,264.04,260.30,249.62,244.96,0.56
8/1/17,208.03,203.72,229.20,226.11,227.48,223.68,327.55,324.59,240.35,235.83,289.42,286.70,252.50,248.99,250.09,245.94,264.23,261.17,250.42,246.64,0.69
9/1/17,207.47,204.53,227.62,225.78,227.41,224.81,327.91,325.86,239.46,236.47,290.53,288.64,251.80,249.26,249.29,246.46,264.91,262.99,250.17,247.55,0.37
10/1/17,207.30,205.59,229.72,228.93,227.11,225.56,329.35,328.66,239.96,238.46,289.26,289.12,252.35,250.52,248.98,247.15,264.08,263.66,250.21,248.78,0.50
11/1/17,207.15,206.71,228.51,227.71,225.92,224.54,333.38,333.01,239.91,239.06,291.78,292.09,253.17,252.41,250.42,249.49,266.15,265.88,251.01,250.26,0.59
12/1/17,206.98,208.63,229.29,229.20,226.45,226.47,332.54,333.68,238.88,239.63,291.18,293.30,253.37,253.38,248.08,249.14,265.57,266.04,250.71,251.37,0.44
1/1/18,207.40,210.68,230.61,230.86,227.38,227.71,335.72,337.48,239.51,240.41,293.66,296.01,254.57,255.71,250.21,252.78,264.43,265.58,251.78,253.31,0.77
2/1/18,209.51,211.33,232.12,232.45,227.50,228.85,339.96,340.20,241.52,242.83,298.86,299.51,257.31,257.11,250.71,252.85,269.44,270.22,254.47,255.22,0.75
3/1/18,212.19,211.99,234.28,232.73,231.74,231.73,343.98,342.56,242.21,241.54,300.63,299.13,260.37,258.39,255.54,254.16,271.12,268.94,257.32,255.94,0.28
4/1/18,215.15,212.82,234.69,232.51,231.92,231.21,347.34,343.82,245.44,243.09,303.07,299.81,263.64,259.87,257.46,254.54,272.30,270.04,259.53,256.71,0.30
5/1/18,217.85,213.72,240.86,237.53,235.12,231.94,351.39,346.97,249.11,245.16,305.00,300.75,266.57,262.02,260.91,256.76,275.02,270.81,262.71,258.43,0.67
6/1/18,220.52,214.98,241.42,237.71,237.42,233.33,355.95,351.32,251.75,246.17,306.62,303.03,265.72,261.36,263.54,257.80,276.81,272.34,264.39,259.56,0.44
7/1/18,220.39,215.26,241.85,237.36,238.22,234.34,355.31,350.93,252.27,247.02,307.26,303.85,268.36,264.07,265.37,259.60,276.50,272.99,265.18,260.58,0.39
8/1/18,220.82,216.45,242.44,239.34,237.68,234.05,356.28,353.45,252.34,247.68,309.26,306.56,269.48,265.60,263.93,259.70,277.28,274.10,265.75,261.87,0.50
9/1/18,220.60,217.53,240.84,238.91,237.14,234.42,358.20,355.72,251.50,248.36,307.77,305.75,268.76,265.94,262.64,259.61,276.20,274.29,265.04,262.25,0.15
10/1/18,220.85,218.91,242.35,241.22,236.12,234.46,357.93,356.96,252.41,250.51,307.09,306.89,267.42,265.51,263.79,261.69,276.16,275.63,264.86,263.25,0.38
11/1/18,219.18,218.75,244.04,243.22,238.62,237.01,359.60,358.89,251.28,250.36,307.49,307.68,268.86,267.90,263.45,262.46,278.14,277.76,265.53,264.65,0.53
12/1/18,218.12,219.90,243.12,242.93,238.07,237.87,358.52,359.35,251.43,252.01,306.46,308.74,269.47,269.42,262.34,263.42,277.15,277.45,264.92,265.52,0.33
1/1/19,217.66,220.89,244.04,244.16,239.33,239.37,361.80,363.65,250.62,251.26,307.43,309.60,269.14,270.05,262.95,265.59,278.51,279.54,265.46,266.84,0.50
2/1/19,221.23,222.82,245.73,245.79,238.49,239.66,362.27,362.43,253.66,254.87,309.73,309.97,272.15,271.59,263.99,265.91,279.48,280.03,267.44,267.91,0.40
3/1/19,223.25,222.93,247.53,245.95,239.37,239.05,366.63,364.90,254.02,252.92,313.39,311.60,274.46,272.12,269.68,267.79,283.72,281.32,270.20,268.53,0.23
4/1/19,226.65,224.07,250.95,248.58,241.83,240.94,374.32,370.30,257.61,254.84,317.13,313.51,278.11,274.08,271.04,267.85,283.83,281.31,273.31,270.19,0.62
5/1/19,229.47,225.24,253.36,250.00,245.47,242.28,375.99,371.52,261.06,257.26,320.39,316.02,280.89,276.21,273.41,269.35,287.20,283.04,276.26,271.91,0.64
6/1/19,231.62,226.07,254.83,251.20,246.37,242.50,377.32,372.84,262.53,257.16,319.93,316.55,280.49,276.26,276.03,270.19,289.14,284.59,277.35,272.59,0.25
7/1/19,232.52,227.28,256.30,251.68,247.49,243.89,381.29,376.86,262.95,257.77,321.86,318.66,281.83,277.63,276.97,271.23,289.07,285.73,278.57,274.02,0.52
8/1/19,232.56,228.08,253.37,250.27,247.85,244.33,379.70,376.96,264.52,259.71,321.69,318.95,281.71,277.57,276.66,272.32,289.45,286.09,278.36,274.37,0.13
9/1/19,232.67,229.43,256.63,254.64,247.69,244.83,382.71,379.77,263.01,259.73,322.04,319.91,284.31,281.25,277.35,274.06,289.42,287.47,279.32,276.34,0.72
10/1/19,231.72,229.53,256.89,255.45,248.75,246.95,382.86,381.63,262.99,260.76,322.57,322.16,284.79,282.85,277.50,275.01,289.40,288.76,279.45,277.63,0.47
11/1/19,232.53,232.05,255.10,254.25,249.64,247.76,383.51,382.62,263.96,262.89,323.25,323.36,284.60,283.42,276.93,275.80,289.64,289.17,279.69,278.66,0.37
12/1/19,230.82,232.74,258.63,258.53,250.24,249.74,388.00,388.69,263.64,264.11,323.02,325.45,285.59,285.41,278.02,279.09,293.15,293.28,280.62,281.15,0.89
