Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)","USA

(SA) Monthly % change"
,,,,,,,,,,,,,,,,,,,,,
11/1/05,192.69,192.23,185.57,184.89,213.13,212.02,271.20,271.55,233.94,233.54,274.57,274.58,230.30,229.39,208.34,207.61,179.76,179.33,217.78,217.16,0.65
12/1/05,191.71,192.22,186.34,186.34,212.99,212.89,272.85,274.24,230.59,231.38,277.18,278.44,231.49,231.34,208.44,208.84,180.63,180.55,218.22,218.49,0.61
1/1/06,191.29,192.77,187.66,188.13,214.53,214.33,274.03,276.59,230.91,232.66,276.39,279.20,232.68,233.56,208.38,210.00,181.19,181.80,218.70,219.86,0.63
2/1/06,191.83,192.74,187.90,188.18,213.23,213.86,277.27,278.96,231.30,233.49,280.51,281.11,233.22,233.34,209.18,209.86,182.43,182.91,219.69,220.30,0.20
3/1/06,192.62,192.61,189.56,189.67,215.33,215.56,280.54,280.96,233.60,232.89,280.17,280.99,235.97,235.04,210.62,210.41,183.99,183.46,221.31,221.10,0.36
4/1/06,194.88,193.59,191.33,190.30,216.23,216.15,281.94,280.95,233.82,232.03,281.83,281.15,237.54,235.77,211.79,210.56,184.56,183.51,222.74,221.54,0.20
5/1/06,196.18,193.14,193.15,191.53,217.89,216.19,285.70,283.52,234.94,232.30,283.74,281.54,238.48,236.18,213.38,210.87,187.37,185.45,224.51,222.13,0.27
6/1/06,196.21,192.67,194.20,191.83,219.70,216.64,287.11,283.72,235.09,231.51,284.03,280.83,239.42,236.44,214.59,211.21,188.26,185.76,225.32,222.14,0.00
7/1/06,196.19,192.83,194.61,192.54,218.01,215.01,286.83,283.84,233.97,230.61,283.00,279.16,239.11,236.62,215.37,211.76,188.61,186.41,225.04,222.00,-0.06
8/1/06,195.74,192.47,195.13,193.33,220.01,216.62,287.95,285.07,232.73,229.96,281.98,279.13,240.47,237.82,215.17,212.12,190.02,187.59,225.55,222.63,0.28
9/1/06,194.72,192.46,195.24,193.83,218.46,216.22,286.77,285.24,230.98,228.50,280.73,277.88,240.30,238.06,214.21,211.74,190.05,188.62,224.79,222.59,-0.02
10/1/06,193.73,192.10,195.18,194.35,218.51,216.56,289.13,288.40,229.92,228.19,276.62,275.67,240.77,239.16,213.73,211.73,190.69,189.25,224.36,222.80,0.09
11/1/06,191.76,191.37,196.11,195.28,217.82,216.76,289.30,289.89,229.13,228.77,276.75,276.88,241.22,240.37,213.55,212.89,191.26,190.80,224.10,223.53,0.33
12/1/06,191.51,192.25,196.74,196.91,215.96,215.83,288.69,290.49,226.98,227.60,274.57,276.04,240.56,240.53,210.88,211.37,191.12,191.27,223.16,223.59,0.03
1/1/07,191.61,193.32,195.83,196.59,216.76,216.62,287.99,290.85,226.50,228.13,274.56,277.54,238.98,240.09,211.39,213.39,192.09,192.89,223.02,224.39,0.36
2/1/07,191.18,192.28,197.70,198.17,216.50,217.14,288.16,289.52,225.25,227.30,273.94,274.42,241.35,241.66,213.95,214.78,192.89,193.51,223.70,224.39,0.00
3/1/07,192.22,192.38,198.85,199.19,218.24,218.30,291.61,292.40,229.61,228.71,277.98,278.96,242.05,241.08,214.76,214.86,194.43,194.03,225.45,225.34,0.42
4/1/07,192.90,191.72,201.16,200.13,220.96,220.89,293.23,292.26,230.12,228.29,277.68,277.10,243.53,241.48,215.60,214.14,195.42,194.30,226.63,225.38,0.02
5/1/07,194.11,190.79,201.43,199.48,220.67,218.62,292.78,290.06,231.44,228.81,275.43,273.40,243.05,240.54,216.75,213.98,197.09,195.01,226.88,224.29,-0.48
6/1/07,194.24,190.46,202.46,199.78,221.73,218.70,294.35,290.65,229.93,226.31,273.11,269.85,242.32,239.08,217.20,213.44,197.71,194.85,226.85,223.44,-0.38
7/1/07,192.50,189.02,201.76,199.49,221.04,217.93,292.84,289.54,228.81,225.66,271.08,267.23,239.41,236.71,217.40,213.69,198.23,195.68,225.56,222.35,-0.49
8/1/07,191.87,188.45,200.92,198.97,220.54,217.13,290.83,287.69,228.87,226.16,263.91,261.11,239.34,236.71,215.75,212.45,198.99,196.25,224.33,221.30,-0.47
9/1/07,189.48,187.20,201.40,199.81,218.70,216.73,287.07,285.61,226.06,223.94,261.20,258.52,237.89,235.66,216.18,213.73,197.82,196.37,222.64,220.48,-0.37
10/1/07,187.68,186.07,199.81,198.89,218.95,216.89,282.46,281.71,225.11,223.36,254.72,253.59,235.24,233.73,211.69,209.48,197.68,196.21,220.24,218.64,-0.83
11/1/07,185.58,185.08,199.89,198.90,216.96,215.97,279.76,280.46,222.62,222.07,248.03,248.16,231.79,230.97,211.62,211.01,196.45,195.98,217.74,217.16,-0.68
12/1/07,182.97,183.86,199.00,199.39,216.22,216.08,274.57,276.45,221.77,222.19,242.26,243.70,229.34,229.39,210.22,210.71,196.52,197.01,215.47,216.02,-0.52
1/1/08,180.74,182.52,195.54,196.50,215.11,215.18,271.29,273.90,219.22,220.58,236.91,239.60,226.56,227.83,207.20,209.54,195.07,196.06,212.74,214.21,-0.84
2/1/08,181.02,182.32,197.34,198.05,214.12,214.80,273.60,274.75,220.00,222.03,232.54,233.04,223.97,224.53,207.29,208.35,195.49,196.29,212.04,212.87,-0.63
3/1/08,180.93,181.39,197.07,197.79,214.06,214.16,270.52,271.75,219.22,218.52,224.86,225.63,224.06,223.37,208.20,208.74,195.57,195.30,210.91,211.02,-0.87
4/1/08,180.61,179.65,198.18,197.36,212.21,212.13,266.99,266.19,218.54,216.79,221.50,221.03,221.98,220.06,209.15,207.63,196.47,195.20,209.88,208.72,-1.09
5/1/08,181.28,177.95,199.11,197.05,214.39,212.22,266.34,263.54,216.87,214.31,217.41,215.80,217.80,215.34,208.34,205.53,197.18,194.99,208.91,206.35,-1.14
6/1/08,181.30,177.50,198.54,195.73,213.17,210.22,263.47,259.97,217.50,213.91,215.28,212.57,216.66,213.46,209.55,205.54,198.97,195.82,208.43,205.07,-0.62
7/1/08,179.88,176.37,197.15,194.72,212.65,209.46,259.35,256.04,215.47,212.52,211.16,207.95,213.71,211.02,208.16,204.45,198.37,195.52,206.37,203.20,-0.91
