,,,,,,,,,,,,,,,,,,,,
"Monthly FHFA House Price Index® for Census Divisions and U.S.
Purchase-Only Index (Only Index available with Monthly Frequency)

NSA=Not Seasonally Adjusted; SA=Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/91,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/91,100.93,101.00,100.94,100.57,100.04,100.28,98.33,98.77,101.78,102.34,100.16,100.55,100.60,100.50,100.50,100.52,99.85,99.60,100.38,100.46
3/1/91,101.31,100.91,100.90,100.52,99.97,99.75,100.21,100.63,101.55,101.29,100.00,100.13,101.00,100.64,100.34,100.06,100.70,100.54,100.68,100.48
4/1/91,101.71,101.00,100.82,100.51,99.40,99.13,100.29,100.39,100.99,100.94,100.15,100.08,100.86,100.40,100.78,100.29,100.42,100.11,100.66,100.31
5/1/91,102.32,101.36,101.10,100.76,99.65,99.17,100.69,100.47,99.69,99.64,100.35,100.08,100.74,100.48,100.67,100.17,100.82,100.36,100.82,100.37
6/1/91,102.79,101.51,102.04,101.53,99.78,98.91,102.09,101.55,99.17,98.58,100.45,99.91,101.29,100.56,101.34,100.47,101.98,100.99,101.34,100.52
7/1/91,102.98,101.87,101.87,101.43,100.20,99.16,101.44,101.31,99.12,98.65,100.43,99.83,101.01,100.45,101.27,100.32,101.80,100.91,101.30,100.54
8/1/91,103.14,102.05,101.65,100.84,99.71,98.77,101.82,101.31,98.34,97.86,100.73,99.99,100.83,100.01,101.74,100.69,101.55,100.59,101.26,100.38
9/1/91,102.84,102.02,101.96,101.20,100.25,99.35,101.91,101.68,99.87,98.95,100.25,99.46,100.69,100.07,101.56,100.81,102.16,101.53,101.34,100.61
10/1/91,103.07,102.32,101.96,101.65,100.09,99.09,103.02,102.54,99.21,98.68,100.80,100.29,101.65,100.89,101.86,101.47,101.33,100.68,101.57,100.92
11/1/91,103.97,103.35,102.81,102.23,101.03,100.16,103.97,103.74,98.23,97.22,100.83,100.56,101.97,101.19,101.76,101.41,101.86,101.31,102.02,101.43
12/1/91,103.75,103.45,103.39,103.33,100.73,100.45,103.70,103.68,99.03,98.57,101.03,100.71,101.88,101.59,102.81,102.46,102.26,102.03,102.16,101.89
1/1/92,103.87,103.89,103.28,103.29,100.72,100.75,104.40,104.47,99.76,99.79,100.97,100.97,101.84,101.83,102.30,102.32,102.42,102.43,102.21,102.23
2/1/92,104.36,104.41,104.51,104.15,101.76,102.04,105.10,105.58,99.78,100.38,101.02,101.44,102.71,102.60,102.83,102.87,103.48,103.23,102.88,102.98
3/1/92,105.53,105.14,104.26,103.86,101.41,101.23,105.56,106.00,99.65,99.42,100.65,100.79,102.61,102.26,103.87,103.56,102.83,102.69,102.99,102.80
4/1/92,105.92,105.18,103.73,103.41,101.16,100.89,105.84,105.91,98.44,98.42,100.41,100.33,102.31,101.84,104.06,103.53,103.13,102.81,102.91,102.55
5/1/92,106.57,105.58,104.48,104.13,100.84,100.33,106.55,106.28,97.53,97.46,100.50,100.21,102.24,101.98,104.39,103.84,103.18,102.65,103.07,102.59
6/1/92,106.92,105.58,104.75,104.18,101.25,100.32,107.54,106.95,96.97,96.32,100.30,99.73,102.45,101.71,105.14,104.20,104.03,103.03,103.40,102.53
7/1/92,107.15,105.98,105.27,104.77,101.45,100.34,107.45,107.24,97.16,96.58,100.63,99.97,102.74,102.13,105.64,104.60,104.31,103.40,103.68,102.86
8/1/92,107.60,106.46,106.31,105.45,101.44,100.40,108.58,107.99,98.13,97.61,100.89,100.12,103.80,102.94,105.91,104.79,104.87,103.87,104.26,103.33
9/1/92,107.59,106.73,106.67,105.90,102.17,101.25,108.73,108.43,98.42,97.52,101.00,100.21,104.12,103.46,106.26,105.43,104.86,104.19,104.50,103.73
10/1/92,108.17,107.37,106.95,106.60,102.43,101.43,110.03,109.51,98.41,97.90,100.04,99.54,104.36,103.61,106.03,105.59,105.59,104.93,104.69,104.03
11/1/92,108.43,107.80,106.90,106.30,103.02,102.19,110.36,110.14,99.38,98.40,99.86,99.60,104.25,103.46,106.43,106.03,106.03,105.46,104.91,104.32
12/1/92,108.74,108.43,106.92,106.83,101.55,101.30,111.22,111.20,97.71,97.31,99.49,99.22,103.53,103.24,106.57,106.20,105.26,105.06,104.49,104.23
1/1/93,108.49,108.56,106.99,107.02,100.93,101.00,111.76,111.92,96.60,96.60,98.62,98.66,103.33,103.27,107.24,107.31,105.38,105.40,104.25,104.29
2/1/93,108.31,108.35,106.95,106.64,100.40,100.78,111.77,112.32,94.48,95.09,97.63,98.07,103.28,103.16,107.58,107.68,105.75,105.52,103.96,104.08
3/1/93,109.28,108.92,108.40,107.99,100.78,100.63,112.07,112.52,95.56,95.40,98.11,98.24,104.04,103.69,107.15,106.81,106.21,106.09,104.57,104.39
4/1/93,110.26,109.48,108.78,108.40,101.72,101.45,114.00,114.00,96.46,96.46,98.34,98.26,104.77,104.28,108.75,108.18,106.92,106.58,105.42,105.04
5/1/93,110.86,109.83,109.19,108.79,102.32,101.74,115.06,114.73,96.28,96.09,98.18,97.86,104.68,104.40,109.49,108.87,107.74,107.10,105.79,105.26
